stt,logo_name,company_name,location,field,people,country,working_day,time
288,logo-288.png,Nexle Corporation,"Ho Chi Minh, Da Nang",Outsourcing,18264,Vietnam,Monday - Friday,No OT
289,logo-289.png,Binance,"District 1, Ho Chi Minh",Product,1000+,Singapore,Monday - Friday,No OT
290,logo-290.png,NAL Solutions,"Da Nang, Ho Chi Minh",Outsourcing,51-150,Japan,Monday - Friday,Extra salary for OT
291,logo-291.png,Sutrix Solutions,"Tan Binh, Ho Chi Minh",Outsourcing,301-500,Vietnam,Monday - Friday,Extra salary for OT
292,logo-292.png,Titan Technology Corporation,"Ho Chi Minh, Others",Outsourcing,151-300,Vietnam,Monday - Friday,No OT
293,logo-293.png,Fetch Technology,"Ho Chi Minh, Ha Noi",Product,151-300,Vietnam,Monday - Friday,No OT
294,logo-294.png,FWD,"District 1, Ho Chi Minh",Product,301-500,Hong Kong,Monday - Friday,OT included in base salary
295,logo-295.png,Con C?ng,"District 7, Ho Chi Minh",Product,1000+,Vietnam,Monday - Friday,No OT
296,logo-296.png,TIKI CORPORATION,"Ho Chi Minh, Ha Noi",Product,1000+,Vietnam,Monday - Friday,No OT
297,logo-297.png,Global Care,"District 3, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
298,logo-298.png,MERKLE VIETNAM,"Ho Chi Minh, Ha Noi",Outsourcing,151-300,France,Monday - Friday,Extra salary for OT
299,logo-299.png,UNIT Corp,"District 3, Ho Chi Minh",Outsourcing,151-300,Vietnam,Monday - Friday,No OT
300,logo-300.png,Photobank Inc.,"District 1, Ho Chi Minh",Product,51-150,Japan,Monday - Friday,No OT
301,logo-301.png,Advance Vision Technology,"Tan Binh, Ho Chi Minh",Outsourcing,18264,Australia,Monday - Friday,none
302,logo-302.png,Spirit Labs,"District 1, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
303,logo-303.png,ZAMO,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
304,logo-304.png,PAPAYA INSURTECH,"District 4, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
305,logo-305.png,i3 DVR International,"Tan Binh, Ho Chi Minh",Product,51-150,Canada,Monday - Friday,No OT
306,logo-306.png,Simpson Strong-Tie Vietnam,"Tan Binh, Ho Chi Minh",Product,151-300,United States,Monday - Friday,No OT
307,logo-307.png,Cloud Ace,"Ho Chi Minh, Ha Noi, Da Nang",Outsourcing,18264,Vietnam,Monday - Friday,No OT
308,logo-308.png,PosApp,"Tan Binh, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
309,logo-309.png,Motorola Solutions,"Phu Nhuan, Ho Chi Minh",Product,1000+,United States,Monday - Friday,No OT
310,logo-310.png,VNTT | Vietnam Technology & Telecommunication JSC.,"Ho Chi Minh, Others",Product,151-300,Vietnam,Monday - Friday,No OT
311,logo-311.png,Công ty cổ phần Camly Platform,"District 1, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
312,logo-312.png,Clever Age,"Ho Chi Minh, Ha Noi",Outsourcing,301-500,France,Monday - Friday,No OT
313,logo-313.png,CIMB Bank Vietnam,"Ho Chi Minh, Ha Noi",Product,51-150,Vietnam,Monday - Friday,No OT
314,logo-314.png,GoSell,"Tan Binh, Ho Chi Minh",Product,151-300,Canada,Monday - Friday,No OT
315,logo-315.png,Tekcent Vietnam,"District 1, Ho Chi Minh",Outsourcing,51-150,Hong Kong,Monday - Friday,none
316,logo-316.png,"OUTSOURCE EXPERT VIET NAM CO.,LTD","District 3, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
317,logo-317.png,HARAVAN,"District 11, Ho Chi Minh",Product,151-300,Vietnam,Monday - Friday,none
318,logo-318.png,Deliveree On-Demand Logistics,"Tan Binh, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,none
319,logo-319.png,Elisoft,"Phu Nhuan, Ho Chi Minh",Outsourcing,51-150,Belarus,Monday - Friday,No OT
320,logo-320.png,Beta Proptech,Ho Chi Minh,Product,51-150,Vietnam,Monday - Friday,No OT
321,logo-321.png,Holistics,"District 10, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
322,logo-322.png,DevDirect Ltd.,"District 1, Ho Chi Minh",Outsourcing,18264,"Korea, Republic of",Monday - Friday,No OT
323,logo-323.png,"Ndex Technologies, Inc.","Phu Nhuan, Ho Chi Minh",Outsourcing,18264,United States,Monday - Friday,Extra salary for OT
324,logo-324.png,9PMP,"Tan Binh, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,Extra days off for OT
325,logo-325.png,Bonsey Jaden,"District 1, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
326,logo-326.png,RMIT University Vietnam,"Ho Chi Minh, Ha Noi",Product,301-500,Vietnam,Monday - Friday,No OT
327,logo-327.png,BMD SOLUTION,"Tan Binh, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
328,logo-328.png,Waverley Software,"Tan Binh, Ho Chi Minh",Outsourcing,51-150,United States,Monday - Friday,No OT
329,logo-329.png,Công tyCổ Phần Công Nghệ DNG,"Tan Phu, Ho Chi Minh",Product,501-1000,Vietnam,Monday - Saturday,No OT
330,logo-330.png,MiTek Viet Nam,"District 7, Ho Chi Minh",Outsourcing,1000+,Vietnam,Monday - Friday,Extra salary for OT
